song_name,artist,cluster
Where Did Our Love Go?,Soft Cell,10
Mama Said,Union Of Sound,6
Edge of Seventeen - 2016 Remaster,Stevie Nicks,7
I'm a Believer - 2006 Remaster,The Monkees,7
Piano Man,Billy Joel,1
"Oh, Pretty Woman - with The Royal Philharmonic Orchestra",Roy Orbison,2
Wouldn't It Be Nice,The Beach Boys,6
Sugar Sugar,The Archies,7
Barbara Ann,The Beach Boys,2
Changes - 2015 Remaster,David Bowie,12
"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,6
A Hard Day's Night - Remastered 2009,The Beatles,7
Hooked On A Feeling,"Blue Swede, Björn Skifs",2
Centerfold,The J. Geils Band,7
In the Summertime,Mungo Jerry,6
Can't Buy Me Love - Remastered 2009,The Beatles,3
The Boys Are Back In Town,Thin Lizzy,2
Back In The U.S.S.R. - Remastered 2009,The Beatles,3
Superstition - Single Version,Stevie Wonder,2
Sir Duke,Stevie Wonder,2
Start Me Up - Remastered 2009,The Rolling Stones,2
Happy Together,The Turtles,6
You Really Got Me,The Kinks,2
Got My Mind Set On You - Remastered 2004,George Harrison,5
It's Not Unusual,Tom Jones,6
You Can't Hurry Love - 2016 Remaster,Phil Collins,2
Any Way You Want It,Journey,2
Old Time Rock & Roll,Bob Seger,2
"Shout, Pts. 1 & 2",The Isley Brothers,5
Penny Lane - Stereo Mix 2017,The Beatles,2
Don't You Want Me Baby,A.M.P.,11
Life Is A Highway,Tom Cochrane,2
Car Wash - Long Version,Rose Royce,11
Wipeout,The Surfaris,8
Every Little Thing She Does Is Magic,The Police,10
Free Fallin',Tom Petty,6
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,7
Born in the U.S.A.,Bruce Springsteen,3
Ballroom Blitz,Sweet,11
Just What I Needed,The Cars,7
Cold as Ice,Foreigner,14
Kung Fu Fighting,Carl Douglas,7
Up Around The Bend,Creedence Clearwater Revival,8
Play That Funky Music,Wild Cherry,2
Let's Dance - 2018 Remaster,David Bowie,15
Heat Of The Moment,Asia,3
Walk This Way,Aerosmith,2
I Get Around (Mono),The Beach Boys,9
We Built This City,Starship,2
Do You Believe in Magic?,The Lovin' Spoonful,7
Don't Stop Believin',Journey,5
Jump - 2015 Remaster,Van Halen,7
You Might Think,The Cars,7
Turn to Stone,Electric Light Orchestra,9
Under the Boardwalk,The Drifters,12
Cat's in the Cradle,Harry Chapin,10
Magic Carpet Ride,Steppenwolf,13
Sweet Talkin' Woman,Electric Light Orchestra,6
Wild Thing,The Troggs,1
Hit Me With Your Best Shot,Pat Benatar,7
BORN IN THE USA,American Boys,2
ABC,The Jackson 5,6
Rolling on the River,Tom Harder,7
Shout,Otis Day & The Knights,7
Girl You Really Got Me Going,Jimmy and the Pips,7
Banana Boat (Day-O),Harry Belafonte,12
Philadelphia Freedom,Elton John,11
I Fought the Law - Single Version,The Bobby Fuller Four,2
Soul Man,Sam & Dave,6
Beyond the Sea,Bobby Darin,1
You Can't Always Get What You Want,The Rolling Stones,15
Black Betty,Ram Jam,9
Got To Get You Into My Life - Remastered 2009,The Beatles,7
Day Tripper - Remastered 2015,The Beatles,11
Secret Agent Man,Johnny Rivers,5
Eight Days A Week - Remastered 2009,The Beatles,2
Come Together - Remastered 2009,The Beatles,1
Take The Long Way Home - 2010 Remastered,Supertramp,10
Hold On Tight,Electric Light Orchestra,5
People Are People,Depeche Mode,11
Someone Saved My Life Tonight,Elton John,1
Enjoy the Silence - 2006 Remaster,Depeche Mode,14
American Pie,Don McLean,15
Come On Eileen,Dexys Midnight Runners,6
"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,6
Don't Bring Me Down,Electric Light Orchestra,7
Twist And Shout - Remastered 2009,The Beatles,6
"Fun, Fun, Fun (Mono)",The Beach Boys,7
Brown Eyed Girl,Van Morrison,2
Daydream Believer,The Monkees,6
The Longest Time,Billy Joel,6
More Than a Feeling,Boston,10
With A Little Help From My Friends - Remastered 2009,The Beatles,6
The Loco-Motion - Remastered 2002,Grand Funk Railroad,5
Happy Days (Theme from ''Happy Days''),Pratt & McClain,2
Cherry Cherry,Neil Diamond,2
Kokomo,The Beach Boys,7
Stuck In The Middle With You,Stealers Wheel,2
Homage,Mild High Club,10
For the First Time,Mac DeMarco,14
Elephant,Tame Impala,14
My Kind of Woman,Mac DeMarco,13
Chamber Of Reflection,Mac DeMarco,8
Lover Is a Day,Cuco,15
Lo Que Siento,Cuco,10
Crazy,Gnarls Barkley,2
Redbone,Childish Gambino,6
Pink Bubblegum,lavi kou,12
Ultraviolence,Lana Del Rey,10
High By The Beach,Lana Del Rey,14
Clint Eastwood,Gorillaz,9
Princess Bubblegum,ilyTOMMY,1
Nice Boys,TEMPOREX,8
GTG,Freddie Dredd,2
Cha Cha,Freddie Dredd,7
Drugs,UPSAHL,14
Romance Garbage,Fatboibari,13
Disciples,Tame Impala,8
West Coast,Lana Del Rey,14
Wish,"Diplo, Trippie Redd",2
Swing Lynn,Harmless,8
Stars (Interlude),killkiyoshi,6
Si Nunca Va a Amanecer,Charles Ans,0
Mary Jane,"Rels B, Itchy & Buco Sounds",0
Insomniac,"Memo Boy, Chakra Efendi",8
Mind Mischief,Tame Impala,3
A Forest,The Cure,4
Plastic Beach (feat. Mick Jones and Paul Simonon),"Gorillaz, Mick Jones, Paul Simonon",3
Танцевать,Molchat Doma,8
I Saw An Angel,Puzzle,8
Thy Mission,"The Garden, Mac DeMarco",13
Pretty When You Cry,Lana Del Rey,14
Vanished,Crystal Castles,11
Separation Anxiety,Eyedress,9
Тоска,Molchat Doma,8
Freaks,Surf Curse,3
Fucked My Way Up To The Top,Lana Del Rey,10
Magic Spells,Crystal Castles,15
Untrust Us,Crystal Castles,9
Air War,Crystal Castles,5
Money,The Drums,14
Hey Kids,"Molina, Late Verlane",14
"New Person, Same Old Mistakes",Tame Impala,3
Blondie,Current Joys,8
Skin and Bones - Mix 2020,Cage The Elephant,14
welcome and goodbye,"Dream, Ivory",13
"Dream, Ivory","Dream, Ivory",10
Blue,"Dream, Ivory",8
Doomsday,"MF DOOM, Pebbles The Invisible Girl",0
Melody (1983 Club Vinyl Mix),Plustwo,2
Infinite Potentiality,Machine Girl,15
Sims 2,Coco & Clair Clair,9
Where Is My Mind? - Remastered,Pixies,10
When You Die,MGMT,9
Softcore,The Neighbourhood,14
Судно (Борис Рижий),Molchat Doma,8
Courtship Dating,Crystal Castles,11
moment,Vierre Cloud,3
Full Metal Jacket,Dirty Art Club,8
Windowlicker,Aphex Twin,2
Pacific 707,808 State,8
Welcome to My House,Ana Rizo,14
Don't Care,TEMPOREX,7
Daughter of a Cop,TV Girl,8
Worn / Wander,Vundabar,3
Cool Kids,Harmless,13
Salad Days,Mac DeMarco,3
The Stars Keep On Calling My Name,Mac DeMarco,2
Love Forever,Babe Rainbow,3
Knee Socks,Arctic Monkeys,14
I Don't Know How To Love,The Drums,3
Ditch,Gus Dapperton,10
Hexagon,"Cráneo, Lasser, Made in M, Juan Rios",0
bop it up!,The Marías,14
A Cold Freezin' Night,The Books,0
i was all over her,salvia palth,4
Sativa,"Jhené Aiko, Swae Lee",5
I Don't Know You,The Marías,6
Black Madonna,Cage The Elephant,11
Come As You Are,Nirvana,9
In Your Arms,Sunbeam Sound Machine,8
Part III,Crumb,8
Spiderhead,Cage The Elephant,7
Pink Ocean,The Voidz,8
Head Down,Ambar Lucid,7
Not Allowed,TV Girl,7
50//50,Vantage,8
Ghost,Machine Girl,13
Guns And Roses,Lana Del Rey,14
Cocaine Sunday,Eyedress,8
Nangs,Tame Impala,8
On the Level,Mac DeMarco,14
American Spirits,Inner Wave,9
Love/Paranoia,Tame Impala,10
Are U Fucked,The Drums,14
Lovewave,The 1-800,9
Chateau (Feel Alright),Djo,1
Devil's Advocate,The Neighbourhood,5
On Fye,"The Simps, Eyedress, zzzahara",7
Let's Skip to the Wedding,Eyedress,9
I've Wasted So Much Time,Enjoy,8
Trigger Of Love,JAWNY,6
Pretty Bones,Harmless,8
Dræm Girl,No Vacation,3
Stargazing,The Neighbourhood,3
Soundtrack for Your Backseat,sundiver ca,14
The Physical Attractions,The Symposium,13
BodyCloseToMine,BONES,8
Mrs Magic,Strawberry Guy,9
Ghostride,Crumb,4
666,Loverboyrando,5
Daylight/Moonlight,The Red Pears,10
Sundown Syndrome,Tame Impala,14
Last Time I’m Falling in Love,Eyedress,5
Symphonia IX,Current Joys,4
Sunder,Hibou,9
Telephones,Vacations,10
I Don't Know Me Like You Do,Low Hum,3
Keepaneyeout,Beach Bums,8
Xenophobic,Eyedress,9
I Don't Wanna Be Your Friend,Eyedress,7
Fear,Current Joys,6
Card Declined for Pizza & Wine,Stevie Dinner,11
My Blood,Current Joys,4
Cab Deg,Good Morning,8
Gutter Girl,Hot Flash Heat Wave,8
Freaks,Television Blonde,8
Can I See You Tonight?,Eyedress,13
On My Block,Danger Incorporated,0
Scorpion,"Dream, Ivory",13
Dice,Puzzle,11
$10,Good Morning,6
Misery Loves Company,Gorgeous Bully,4
What She Might Say to Me,Puzzle,13
Roll the Die,killkiyoshi,11
Shirim,Melody's Echo Chamber,8
You and Me,Mild High Club,13
Empire Ants (feat. Little Dragon),"Gorillaz, Little Dragon",14
Techo,"Cráneo, Lasser, Made in M, Juan Rios",0
Sweetie Little Jean,Cage The Elephant,14
You Say I'm in Love,Banes World,12
End Of The World,Anika,11
Numb,Men I Trust,4
Gallowdance,Lebanon Hanover,8
Волны,Molchat Doma,13
Undone - The Sweater Song,Weezer,10
Cigarettes out the Window,TV Girl,7
When I Was Done Dying,Dan Deacon,3
Warm (feat. Mia),"Dre'es, Mia",12
Drugs in My Body,Thieves Like Us,13
Around the World,Daft Punk,15
The Thrill,"Wiz Khalifa, Empire of the Sun",11
Indica Badu,"Logic, Wiz Khalifa",7
Music Sounds Better with You,NEIL FRANCES,11
What You Need,"KAYTRANADA, Charlotte Day Wilson",13
CHANCES,"KAYTRANADA, Shay Lia",11
Velvet Light,Jakob,6
Han Jan,Peggy Gou,13
Hollow,Mr.Kitty,13
Andromeda (feat. DRAM),"Gorillaz, DRAM",5
YOU'RE THE ONE,"KAYTRANADA, Syd",0
Warmpop,"ESPRIT 空想, George Clanton",8
Charcoal Baby,Blood Orange,9
Smells Blood,Kensuke Ushio,13
Dayflower,Cathedral Bells,3
Finger on the Trigger,Jak3 / Trashman,5
PHONKY TOWN,PlayaPhonk,0
Funny Thing,Thundercat,0
Pretty Cvnt,Sewerslvt,10
Houdini,Foster The People,2
Fingerbib,Aphex Twin,13
Ginger Claps,Machine Girl,0
Tokyo Smoke,Cage The Elephant,9
Brokendate,Com Truise,8
Sexy Boy,Air,8
The Perfect Girl,Mareux,13
Facebook.com,Memo Boy,13
What You Know,Freddie Dredd,0
SUICIDE YEAR,"WEEDMANE, Suicideyear",2
Athoth a Go!! Go!!,Machine Girl,3
flutter,julie,8
Dsco,Sweet Trip,11
Cyberia Lyr1,Sewerslvt,13
Cyberia lyr3,Sewerslvt,8
wasted affairs,Mind’s Eye,14
Cyan Hardcore,Machine Girl,8
Crushcrushcrush,"Coco & Clair Clair, Paul Maxwell",2
Fine Night,Goreshit,9
Xleepy,Machine Girl,8
Dark Beach,Pastel Ghost,8
Serpentskirt - Remastered 2006,Cocteau Twins,9
Les,Childish Gambino,14
Baby Came Home,The Neighbourhood,10
Compass,The Neighbourhood,5
4 H 4 2,"Smoothtrial42, Shyguy",4
why am i,datfootdive,13
Tomorrow Never Knows - Remastered 2009,The Beatles,10
Bane,Destroy Lonely,14
Song About Me,TV Girl,5
Voicemail,Poppy,8
Animal,Sir Chloe,10
Stargirl Interlude,"The Weeknd, Lana Del Rey",1
Suffocation,Crystal Castles,10
Change (In the House of Flies),Deftones,9
Girl of My Dreams,Guti,4
Long Time - Intro,Playboi Carti,5
Climbing Up the Walls,Radiohead,14
Mystery of Love,Sufjan Stevens,4
Amour plastique,"Videoclub, Adèle Castillon, Mattyeux",12
Meet Me in the Woods,Lord Huron,13
Idea of Her,Cavetown,1
fever dream - acoustic,mxmtoon,12
Overgrown Garden,Beetlebug,1
Sofia,Clairo,6
If I Could Ride a Bike,"Park Bird, Chevy",12
Meteor Shower,Cavetown,1
Geronimo,Sheppard,2
unspoken words,mxmtoon,6
Backyard Boy,Claire Rosinkranz,6
Treehouse,"FM, Alex G",12
Looking Out for You,Joy Again,2
walk but in a garden (with mxmtoon),"LLusion, mxmtoon",6
Adore You,Harry Styles,2
Visions of Gideon,Sufjan Stevens,4
Make Out in My Car - Sufjan Stevens Version,"Moses Sumney, Sufjan Stevens",1
buzz cut,lovelytheband,2
Almost (Sweet Music),Hozier,2
Solar,Cosmo Sheldrake,10
The King,Conan Gray,7
almost home,mxmtoon,10
Pigeon,Cavetown,12
Locket,Crumb,4
Helium,Glass Animals,12
Serotonin,girl in red,0
Blueberry Eyes (feat. SUGA of BTS),"MAX, SUGA",6
Sharpener,Cavetown,12
Someone New,Hozier,3
Egg and Soldiers,Cosmo Sheldrake,5
Hey Lover,The Daughters Of Eve,14
Dream Girl,Crisaunt,6
Sports,Beach Bunny,3
Gay Girls,Pillow Queens,10
prom dress,mxmtoon,6
Sunkissed,khai dreams,6
Cherry,Harry Styles,6
Poison,Cavetown,12
Falling for U,"Peachy!, mxmtoon",0
Banana Bread,Cavetown,10
The Devil Wears a Suit and Tie,Colter Wall,12
Bottom of the River,Delta Rae,11
Tongues & Teeth,The Crane Wives,7
The Garden,The Crane Wives,5
Villainous Thing,Shayfer James,9
Caesar,The Oh Hellos,12
The Mariner's Revenge Song,The Decemberists,15
Pretty Little Things,The Crane Wives,14
"Safe Ship, Harbored",The Crane Wives,1
The Hand That Feeds,The Crane Wives,1
Hooked (Addicted You Might Say),Eleisha Eagle,7
Never Love an Anchor,The Crane Wives,6
She's A Big Boy,Mcbaise,1
Words Ain't Enough,"Tessa Violet, chloe moriondo",6
Sweet Hibiscus Tea,Penelope Scott,12
"Because Dreaming Costs Money, My Dear",Mitski,12
I Want You,Mitski,1
Stuff Is Way,They Might Be Giants,6
Murders,Miracle Musical,1
A Horse with No Name,"America, George Martin",12
Little Pistol,Mother Mother,1
Tardigrade Song,Cosmo Sheldrake,5
Ghost Adventure Spirit Orb,chloe moriondo,12
A Pearl,Mitski,10
Me and My Husband,Mitski,3
My Girlfriend Is a Witch,October Country,2
Community Gardens,"The Scary Jokes, Louie Zong",5
Francis Forever,Mitski,10
Silly Girl,chloe moriondo,12
Guiltless,dodie,12
Secret For The Mad,dodie,12
If I'm Being Honest,dodie,12
Human,"dodie, Tom Walker",12
You,dodie,1
Boys Like You,dodie,0
Cool Girl,dodie,12
Home,Cavetown,10
cliché,mxmtoon,12
"Eyes Warm, Eyes Wide",Lilli Furfaro,12
Bit By Bit,Mother Mother,2
The Sticks,Mother Mother,3
Let's Fall In Love,Mother Mother,11
Cabinet Man,Lemon Demon,2
Thumbnail,"Louie Zong, Brian David Gilbert",6
GIRL ON TV,chloe moriondo,11
Mothers,Lilli Furfaro,12
Bottom Line,Lilli Furfaro,12
Bare-Bones,Lilli Furfaro,12
Seasons,Lilli Furfaro,12
D&D + Asexuality,Skull Puppies,1
Rebel Prince,Rufus Wainwright,12
Bloodsport,Raleigh Ritchie,14
My Antarctica,Duran Duran,14
Icicles,The Scary Jokes,5
Wisdom,Mother Mother,14
D & D Is Gay (But So Am I So This Tracks),Newgrounds Death Rugby,12
Starchild,Ghost Quartet,12
Stalker's Tango,Autoheart,14
Burnt Espresso,"Sidney Amos, Barnes Blvd.",12
Vanilla Curls,Teddy Hyde,12
Susie Save Your Love,"Allie X, Mitski",11
Catabolic Seed,The Scary Jokes,6
EXCUSES,Ande Estrella,1
It's Raining Frogs,The Paranormal Song Warrior,6
I DONT TRUST U ANYMORE,Left at London,6
Weight of the World,Shayfer James,14
Tic Toc,Mother Mother,6
No Eyed Girl,Lemon Demon,6
Apple Pie,The Scary Jokes,6
Sim Sala Bim,Fleet Foxes,14
Bury Me Face Down,grandson,9
Riot,Hollywood Undead,7
Blood // Water,grandson,9
Heavydirtysoul,Twenty One Pilots,9
Twisted,MISSIO,10
Rebels,Call Me Karizma,6
Arsonist's Lullabye,Hozier,1
Play with Fire (feat. Yacht Money),"Sam Tinnesz, Yacht Money",14
Middle Finger,Bohnes,14
Raging on a Sunday,Bohnes,9
Stick Up,grandson,9
Darkside,grandson,10
Sociopath,"StayLoose, Bryce Fox",14
Do It All The Time,I DONT KNOW HOW BUT THEY FOUND ME,11
Absinthe,I DONT KNOW HOW BUT THEY FOUND ME,9
Social Climb,I DONT KNOW HOW BUT THEY FOUND ME,5
Modern Day Cain,I DONT KNOW HOW BUT THEY FOUND ME,9
arrow,half•alive,2
Baby You're a Haunted House,Gerard Way,7
still feel.,half•alive,11
Bleed Magic,I DONT KNOW HOW BUT THEY FOUND ME,3
Pure Gold,half•alive,7
Despicable,grandson,5
Dirty,grandson,3
Brittle Bones Nicky,Rare Americans,11
In Over My Head,grandson,5
Kamikazee,MISSIO,14
Ashes,Stellar,14
WWIII,grandson,14
Hurt,Oliver Tree,5
Paranoia on Main Street,Demi the Daredevil,14
Boy In The Bubble,Alec Benjamin,11
If I Killed Someone For You,Alec Benjamin,6
Teeth,5 Seconds of Summer,11
Sweet Tooth,Scott Helman,7
Burning Alive,8 Graves,10
Same Graves,The Ghost Club,11
Teach Me To Fight,YONAKA,9
Rebel Rebel - 1999 Remaster,David Bowie,2
Club Tropicana,Wham!,5
space date,"fredo disco, Disco Inc.",6
T.N.T.,AC/DC,0
Dirty Deeds Done Dirt Cheap,AC/DC,11
Highway to Hell,AC/DC,9
Back In Black,AC/DC,3
Cradles,Sub Urban,0
Burn The House Down,AJR,3
Bugbear,chloe moriondo,6
Bang!,AJR,11
Bullet,Hollywood Undead,3
Oh No!!!,grandson,7
Overdose,grandson,9
Aawake At Night,half•alive,5
Monster,Those Who Dream,3
Undercover Martyn,Two Door Cinema Club,3
The Bad Thing,Arctic Monkeys,7
Cold Cold Cold,Cage The Elephant,2
Teddy Picker,Arctic Monkeys,2
YELLOW,Yoh kamiyama,11
New Invention,I DONT KNOW HOW BUT THEY FOUND ME,3
Loki,The Mechanisms,14
Killer In The Mirror,Set It Off,11
Ghost,Confetti,0
Wires,The Neighbourhood,14
She Doesn't Sleep,Anthony Amorim,6
Old Yellow Bricks,Arctic Monkeys,7
Arabella,Arctic Monkeys,3
Brianstorm,Arctic Monkeys,3
Turbulent,Waterparks,9
Everybody Gets High,MISSIO,0
Another Way Out,Hollywood Undead,2
Kill Everyone,Hollywood Undead,3
War,grandson,9
Moshpit,Bohnes,3
Serial Killer,"Moncrieff, JUDGE",14
Monster (Under My Bed),Call Me Karizma,6
Monsters (feat. blackbear),"All Time Low, blackbear",5
Gypsy Woman,Anarbor,9
Little Bastards,Palaye Royale,10
Recycled Youth,Call Me Karizma,0
Blood Runs Red,78rpm,9
Dead Ringer,Des Rocs,9
Dead Inside,Younger Hunger,11
Beggin',Måneskin,11
I WANNA BE YOUR SLAVE,Måneskin,7
I'm The Boogeyman,Rory Webley,14
Tip Toes,half•alive,2
Mr. Doctor Man,Palaye Royale,9
Lonely Vampire,Weathers,14
The Bartender And The Thief,Stereophonics,3
Poker Face,Lady Gaga,7
うっせぇわ,Ado,9
Cemetry Gates - 2011 Remaster,The Smiths,2
The Queen Is Dead - 2017 Master,The Smiths,5
This Charming Man - 2011 Remaster,The Smiths,2
Pretty Girls Make Graves - 2011 Remaster,The Smiths,11
There Is a Light That Never Goes Out - 2017 Master,The Smiths,7
How Soon Is Now? - 2011 Remaster,The Smiths,3
I Know It's Over - 2011 Remaster,The Smiths,10
"Holland, 1945",Neutral Milk Hotel,3
Sober to Death,Car Seat Headrest,10
King of Carrot Flowers Pt. 1,Neutral Milk Hotel,8
Death Cup,Mom Jeans.,10
Your Graduation,Modern Baseball,9
"Fine, Great",Modern Baseball,7
Tears Over Beers,Modern Baseball,3
Edward 40hands,Mom Jeans.,3
*Sobs Quietly*,Mom Jeans.,10
Danger Can't,Mom Jeans.,2
Art School Wannabe,Sorority Noise,3
505,Arctic Monkeys,3
Plane vs. Tank vs. Submarine,Tigers Jaw,14
Using,Sorority Noise,11
Flashlight,The Front Bottoms,3
Exit Music (For a Film),Radiohead,1
Surfer Rosa,The Obsessives,7
Creep,Radiohead,10
Curbside,I'm Glad It's You,3
The Boy with the Thorn in His Side - 2011 Remaster,The Smiths,5
Minor Acts of Cannibalism,I'm Glad It's You,3
"Blonde Hair, Black Lungs",Sorority Noise,10
Anything But Blue,I'm Glad It's You,10
Beachboy,McCafferty,3
Nobody,Mac DeMarco,12
Freaking Out the Neighborhood,Mac DeMarco,11
She's Thunderstorms,Arctic Monkeys,2
I Forgot to Take My Meds Today,Prince Daddy & the Hyena,10
Borderline,Tame Impala,11
Creature,It Looks Sad.,10
How To Never Stop Being Sad,dandelion hands,4
Across The Sea,Weezer,3
we found two dead swans and filled their bodies with flowers,Teen Suicide,12
I Killed Arbor Day For You,Panucci's Pizza,10
The Weekend,Modern Baseball,2
Karma Police,Radiohead,10
Paranoid Android,Radiohead,3
Jigsaw Falling Into Place,Radiohead,9
Tired Of Sex,Weezer,3
Constant Headache,Joyce Manor,2
Really?,Prince Daddy & the Hyena,8
Yer Killin' Me,Remo Drive,9
A Detailed and Poetic Physical Threat to the Person Who Intentionally Vandalized My 1994 Dodge Intrepid Behind Kate's Apartment,Pet Symmetry,9
Dead-Bird,McCafferty,2
Never Saw It Coming,Tigers Jaw,14
Falling in Love Again,Joyce Manor,3
A Portrait Of,Sorority Noise,3
Let's Talk About Your Hair,Have Mercy,7
Mononokay,Sorority Noise,0
I Wish I Could Ctrl+alt+del My Life,Prince Daddy & the Hyena,3
Skeleton,The Front Bottoms,3
Vape Nation,Mom Jeans.,12
Buddy Holly,Weezer,2
Acolyte,"Slaughter Beach, Dog",6
Your Cat,"Slaughter Beach, Dog",7
Should I Call My Mom,Subpar,2
The Plan (Fuck Jobs),The Front Bottoms,7
Love Will Tear Us Apart - 2010 Remaster,Joy Division,8
Aphasia,Pinegrove,12
Disorder - 2007 Remaster,Joy Division,13
She's Lost Control - 2007 Remaster,Joy Division,9
This Night Has Opened My Eyes - 2011 Remaster,The Smiths,7
Blue Monday - 2016 Remaster,New Order,15
Age of Consent - 2015 Remaster,New Order,3
Shred Cruz,Mom Jeans.,3
Girl Scout Cookies,Mom Jeans.,2
Rock Bottom,Modern Baseball,3
Our Song,Radiator Hospital,3
Fake Plastic Trees,Radiohead,12
Birds Dont Sing,TV Girl,2
Drain You,Nirvana,9
Unwritten,Natasha Bedingfield,2
Lights,Ellie Goulding,11
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",11
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",2
Forget You,CeeLo Green,7
Keep Your Head Up,Andy Grammer,7
All Star,Smash Mouth,2
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",7
A Thousand Miles,Vanessa Carlton,2
Shake It,Metro Station,5
Beautiful Girls,Sean Kingston,11
Airplanes (feat. Hayley Williams of Paramore),"B.o.B, Hayley Williams",11
Geronimo,So You Say,2
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",11
Give Your Heart a Break,Demi Lovato,2
Heart Attack,Demi Lovato,3
Umbrella,"Rihanna, JAY-Z",3
Me And My Broken Heart,Rixton,9
One Last Time,Ariana Grande,10
Dangerous Woman,Ariana Grande,14
Love Me Harder,"Ariana Grande, The Weeknd",14
Someone Like You,Adele,1
Rolling in the Deep,Adele,2
Stronger (What Doesn't Kill You),Kelly Clarkson,7
Like A G6,"Far East Movement, The Cataracs, DEV",0
In Da Club,50 Cent,0
Just the Way You Are,Bruno Mars,2
Dynamite,Taio Cruz,7
Smooth Criminal - 2012 Remaster,Michael Jackson,2
Price Tag,"Jessie J, B.o.B",3
Sing,Ed Sheeran,11
Domino,Jessie J,2
Lips Are Movin,Meghan Trainor,2
Whistle,Flo Rida,7
Cheap Thrills,Sia,11
Thinking out Loud,Ed Sheeran,6
We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",14
"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",12
lovely (with Khalid),"Billie Eilish, Khalid",12
7 rings,Ariana Grande,0
"thank u, next",Ariana Grande,7
Empire State Of Mind,"JAY-Z, Alicia Keys",0
Break My Heart,Dua Lipa,11
everything i wanted,Billie Eilish,4
Livin' On A Prayer,Bon Jovi,7
Sweet Home Alabama,Lynyrd Skynyrd,6
Starships,Nicki Minaj,11
Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars",0
Teenage Dream,Katy Perry,2
22,Taylor Swift,2
Best Song Ever,One Direction,7
DJ Got Us Fallin' In Love (feat. Pitbull),"USHER, Pitbull",11
Rude Boy,Rihanna,9
She Wolf,Shakira,2
Don't Cha,"The Pussycat Dolls, Busta Rhymes",11
Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",7
Take A Bow,Rihanna,6
Grind With Me,Pretty Ricky,10
Diva,Beyoncé,0
Halo,Beyoncé,14
Birthday Sex,Jeremih,14
I Kissed A Girl,Katy Perry,11
Turn My Swag On,Soulja Boy,9
Crank That (Soulja Boy),Soulja Boy,7
Hot In Herre,Nelly,11
Candy Shop,"50 Cent, Olivia",0
Who Let The Dogs Out,Baha Men,7
Work It,Missy Elliott,0
What I Like About You,5 Seconds of Summer,9
Dum Dee Dum,Keys N Krates,2
"Whenever, Wherever",Shakira,11
Irreplaceable,Beyoncé,0
Blow,Kesha,11
The Lazy Song,Bruno Mars,11
So What,P!nk,2
Oops!...I Did It Again,Britney Spears,11
Super Bass,Nicki Minaj,5
Telephone,"Lady Gaga, Beyoncé",7
Paper Planes,M.I.A.,5
Love You Like A Love Song,Selena Gomez & The Scene,11
Who Says,Selena Gomez & The Scene,7
Tell Me Something I Don't Know,Selena Gomez & The Scene,11
Mercy,Duffy,7
Teach Me How to Dougie,Cali Swag District,2
I Dont Need Your Money,Cali Swag District,7
London Bridge,Fergie,0
Beautiful Liar,"Beyoncé, Shakira",2
Let's Talk About Sex,Salt-N-Pepa,6
Blurred Lines,"Robin Thicke, T.I., Pharrell Williams",2
Work B**ch,Britney Spears,2
Rehab,Amy Winehouse,7
Come & Get It,Selena Gomez,9
Run the World (Girls),Beyoncé,7
Slow Down,Selena Gomez,5
Paparazzi,Lady Gaga,11
The Heart Wants What It Wants,Selena Gomez,11
Alejandro,Lady Gaga,14
Cool for the Summer,Demi Lovato,14
Hush Hush; Hush Hush,The Pussycat Dolls,11
7/11,Beyoncé,11
Bitch I'm Madonna,"Madonna, Nicki Minaj",11
Can't Remember to Forget You,"Shakira, Rihanna",11
Slob on My Knob,Tear Da Club Up Thugs,11
LoveGame,Lady Gaga,11
Anaconda,Nicki Minaj,2
Sweet Dreams,Beyoncé,7
Applause,Lady Gaga,11
A Year Without Rain,Selena Gomez & The Scene,9
4 Minutes (feat. Justin Timberlake & Timbaland),"Madonna, Justin Timberlake, Timbaland",7
Peacock,Katy Perry,7
Same Old Love,Selena Gomez,14
Black Widow,"Iggy Azalea, Rita Ora",2
Dark Horse,"Katy Perry, Juicy J",10
This Is How We Do,Katy Perry,11
Do It,Selena Gomez,11
Pump It,Black Eyed Peas,5
STARSTRUKK (feat. Katy Perry),"3OH!3, Katy Perry, Matt Squire",9
Rabiosa,"Shakira, Pitbull",7
Can’t Touch This,The Old Schoolers,11
Baby Got Back,Sir Mix-A-Lot,0
Beat It,Michael Jackson,11
The Fresh Prince of Bel-Air,DJ Jazzy Jeff & The Fresh Prince,11
Do It Again,"Pia Mia, Chris Brown, Tyga",2
Back To Black,Amy Winehouse,10
